channelname,mediapackageid
FASHION TV ,5632882194994688
NATIONAL GEOGRAPHIC CHANNEL ,18017781170320576
РУССКИЙ РОМАН ,29839730192218947
ЕДА ПРЕМИУМ ,53483628236015365
МУЗ ТВ ,12388281636082373
VIP PREMIERE ,27869405355236228
FOX ,29276780238795330
HDL ,48698553631914563
PARAMOUNT COMEDY ,52920678282591872
2X2 ,24773180611405957
LEOMAX 24 ,49261503585338117
ЖИВАЯ ПЛАНЕТА ,46446753818219333
EUROSPORT 1 ,29276780238795328
CNN INTERNATIONAL ,41943154190829249
RT-RUSSIA TODAY ,18017781170320641
ДЕТСКИЙ МИР ,17736306193608705
ВЕСЬДЕНЬВОЙНА ,47009703771643654
360° ,49261503585338115
КХЛ ,36876604610016320
МОРСКОЙ ,25054655588117766
КИНОСЕРИЯ ,22239905820998980
ТИПА СМЕШНО И СЕМЕЙНО KIDS ,43350529074389574
СОЛОВЬЕВ И МАЛАХОВ ,26743505448388610
КИНО ТВ ,23928755681269889
SONY SCI-FI ,13514181542930240
SPIKE ,9573531868963010
TLC ,13514181542930305
РУССКИЙ ДЕТЕКТИВ ,8166156985402499
ТОП ШОП ТВ ,14640081449778306
АНЕКДОТ ТВ ,20269580984015504
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ ТВ ,54609528142863302
FRANCE 24 ,20551055960727296
ПЕРВЫЙ НЕ ПЕРВЫЙ ,42787579120964937
BOOMERANG ,12669756612794624
МУЛЬТИМУЗЫКА ,33780379866185604
МАЙДАН ,15484506379913730
О! ,53202153259303683
МУЖСКОЙ ,14640081449778305
ТИПА ОЧЕНЬ СМЕШНО ,24491705634693504
TV XXI ,37158079586728065
ОТР ,28151460972315200
SHOPPING LIVE ,42787579120964933
МИР 24 ,23647280704558023
FAN ,14640081449778312
МУЖСКОЕ КИНО ,36876604610016321
РЕПТИЛОИДЫ ,53765103212727168
ВОПРОСЫ И ОТВЕТЫ ,40817254283982017
OCEAN TV ,27869405355236225
НАШЕ НОВОЕ КИНО ,2818132427873345
ИСТОРИЯ ,1692232521025284
NICKELODEON HD ,6477307125130883
MEZZO ,4506982288146243
МАМА ,5914357171706752
DEUTSCHE WELLE ,1129282567600449
WORLD FASHION CHANNEL ,32091530005914177
КАНАЛ ПРО МЕНТОВ ХИТ ,11825331682658507
КИНОКОМЕДИЯ ,40535779307270272
УСПЕХ ,52357728329168324
НАСТОЯЩЕЕ СТРАШНОЕ ТЕЛЕВИДЕНИЕ ,10136481822386688
ANI ,26180555494965063
BRIDGE TV HITS ,34906279773032707
VIP MEGAHIT ,11825331682658503
ДИАЛОГИ О РЫБАЛКЕ ,50387403492185860
ДИКАЯ ОХОТА HD ,18017781170320646
КАПИТАН ФАНТАСТИКА ,14640081449778308
TRAVEL +ADVENTURE ,50950353445609473
КАНАЛ ИМ ТС СЛЕД ,47854128701779141
DA VINCI LEARNING ,49824453538761732
ЗОО ТВ ,12951231589506438
UFC ТВ ,20832530937439111
МУЛЬТИЛАНДИЯ ,3944032334721920
NICKTOONS ,4225507311434114
